                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    130,                 0.0215,                0.95614,                      1,                0.60071,             0.00056203,             0.00056203,             0.00056203
                    131,                0.02097,                0.95614,                      1,                0.60486,             0.00056085,             0.00056085,             0.00056085
                    132,                0.02529,                0.94737,                      1,                0.59741,             0.00055967,             0.00055967,             0.00055967
                    133,                0.02698,                0.95614,                      1,                0.59924,             0.00055849,             0.00055849,             0.00055849
                    134,                0.02945,                0.92982,                      1,                0.61121,             0.00055731,             0.00055731,             0.00055731
                    135,                0.01588,                0.92982,                      1,                0.61157,             0.00055613,             0.00055613,             0.00055613
                    136,                0.03595,                0.95614,                      1,                0.59033,             0.00055496,             0.00055496,             0.00055496
                    137,                0.05069,                0.96491,                      1,                0.59241,             0.00055378,             0.00055378,             0.00055378
                    138,                0.03988,                0.92105,                      1,                0.62598,              0.0005526,              0.0005526,              0.0005526
                    139,                0.01982,                0.92982,                      1,                0.62244,             0.00055142,             0.00055142,             0.00055142
                    140,                 0.0222,                0.92105,                      1,                0.62854,             0.00055024,             0.00055024,             0.00055024
                    141,                0.01865,                0.89474,                      1,                0.63574,             0.00054907,             0.00054907,             0.00054907
                    142,                0.02341,                0.92982,                      1,                0.62793,             0.00054789,             0.00054789,             0.00054789
                    143,                0.03258,                 0.9386,                      1,                0.61047,             0.00054671,             0.00054671,             0.00054671
                    144,                0.01812,                 0.9386,                      1,                0.60315,             0.00054553,             0.00054553,             0.00054553
                    145,                0.04377,                0.90351,                      1,                0.62976,             0.00054435,             0.00054435,             0.00054435
                    146,                0.04761,                0.90351,                      1,                0.64539,             0.00054318,             0.00054318,             0.00054318
                    147,                0.04019,                0.91228,                      1,                0.63123,               0.000542,               0.000542,               0.000542
                    148,                0.04941,                0.92982,                      1,                0.60498,             0.00054082,             0.00054082,             0.00054082
                    149,                0.04777,                0.92105,                      1,                0.61816,             0.00053964,             0.00053964,             0.00053964
                    150,                0.07437,                0.89474,                      1,                0.63611,             0.00053846,             0.00053846,             0.00053846
                    151,                0.03264,                0.91228,                      1,                0.62158,             0.00053728,             0.00053728,             0.00053728
                    152,                0.04194,                 0.9386,                      1,                0.62134,             0.00053611,             0.00053611,             0.00053611
                    153,                0.03349,                0.94737,                      1,                0.61218,             0.00053493,             0.00053493,             0.00053493
                    154,                  0.043,                0.92982,                      1,                0.60168,             0.00053375,             0.00053375,             0.00053375
                    155,                0.03817,                 0.9386,                      1,                0.60474,             0.00053257,             0.00053257,             0.00053257
                    156,                0.03081,                0.94737,                      1,                0.59131,             0.00053139,             0.00053139,             0.00053139
                    157,                0.02705,                0.94737,                      1,                0.60681,             0.00053022,             0.00053022,             0.00053022
                    158,                0.02238,                0.94737,                      1,                0.60986,             0.00052904,             0.00052904,             0.00052904
                    159,                0.03784,                 0.9386,                      1,                0.60657,             0.00052786,             0.00052786,             0.00052786
                    160,                0.02883,                0.92105,                      1,                0.62207,             0.00052668,             0.00052668,             0.00052668
